Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
3,The Kid LAROI & Justin Bieber,Stay,2022-04-02,3,1,37,https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg
4,Imagine Dragons X JID,Enemy,2022-04-02,4,3,21,https://charts-static.billboard.com/img/2021/11/imagine-dragons-ud7-enemy-hcl-180x180.jpg
5,Anitta,Envolver,2022-04-02,19,5,3,https://charts-static.billboard.com/img/2021/11/anitta-wxe-envolver-h43-180x180.jpg
6,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-04-02,5,3,32,https://charts-static.billboard.com/img/2021/08/elton-john-m6x-cold-heart-pnau-remix-8pz-180x180.jpg
7,Ed Sheeran,Shivers,2022-04-02,8,3,28,https://charts-static.billboard.com/img/2021/09/ed-sheeran-w3r-shivers-9kr-180x180.jpg
8,Becky G X Karol G,MAMIII,2022-04-02,7,4,6,https://charts-static.billboard.com/img/2022/02/becky-g-gw8-mamiii-azv-180x180.jpg
9,Ed Sheeran,Bad Habits,2022-04-02,9,1,39,https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg
10,The Weeknd & Ariana Grande,Save Your Tears,2022-04-02,10,1,64,https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg
11,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,2022-04-02,6,1,13,https://charts-static.billboard.com/img/2022/01/carolina-gaitan-000-we-dont-talk-about-bruno-09c-180x180.jpg
12,Adele,Easy On Me,2022-04-02,11,1,24,https://charts-static.billboard.com/img/2021/10/adele-000-easy-on-me-03x-180x180.jpg
13,Lil Nas X & Jack Harlow,Industry Baby,2022-04-02,13,2,35,https://charts-static.billboard.com/img/2021/08/lil-nas-x-qv4-industry-baby-bw6-180x180.jpg
14,Camila Cabello Featuring Ed Sheeran,Bam Bam,2022-04-02,14,10,3,https://charts-static.billboard.com/img/2022/03/camila-cabello-bvl-bam-bam-e5o-180x180.jpg
15,Dua Lipa,Levitating,2022-04-02,15,2,77,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg
16,Rauw Alejandro & Chencho Corleone,Desesperados,2022-04-02,16,13,14,https://charts-static.billboard.com/img/2021/12/rauwalejandro-37g-desesperados-n5s-180x180.jpg
17,Justin Bieber,Ghost,2022-04-02,17,16,27,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
18,Farruko,Pepas,2022-04-02,18,7,36,https://charts-static.billboard.com/img/2021/07/farruko-lo8-pepas-ymw-180x180.jpg
19,Tiesto & Ava Max,The Motto,2022-04-02,21,19,20,https://charts-static.billboard.com/img/2021/11/tiesto-e64-the-motto-w7q-180x180.jpg
20,The Weeknd,Blinding Lights,2022-04-02,22,2,81,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
21,Stray Kids,Maniac,2022-04-02,-,21,1,https://charts-static.billboard.com/img/2017/11/straykids-0y0-180x180.jpg
22,Lost Frequencies & Calum Scott,Where Are You Now,2022-04-02,24,22,28,https://charts-static.billboard.com/img/2021/09/lost-frequencies-e88-where-are-you-now-vlq-180x180.jpg
23,Doja Cat,Woman,2022-04-02,26,11,36,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
24,Megan Thee Stallion & Dua Lipa,Sweetest Pie,2022-04-02,12,12,2,https://charts-static.billboard.com/img/2022/03/megan-thee-stallion-dkc-sweetest-pie-jwh-180x180.jpg
25,Dove Cameron,Boyfriend,2022-04-02,20,17,6,https://charts-static.billboard.com/img/2022/02/dove-cameron-kdk-boyfriend-sko-180x180.jpg
26,CKay,Love Nwantiti (Ah Ah Ah),2022-04-02,27,2,28,https://charts-static.billboard.com/img/2021/03/ckay-eoq-180x180.jpg
27,Lil Nas X,Thats What I Want,2022-04-02,28,4,27,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
28,Kodak Black,Super Gremlin,2022-04-02,25,16,17,https://charts-static.billboard.com/img/2016/06/kodak-black-3si-180x180.jpg
29,Jaymes Young,Infinity,2022-04-02,29,23,17,https://charts-static.billboard.com/img/2014/04/jaymes-young-ctm-106x106.jpg
30,Elley Duhe,Middle Of The Night,2022-04-02,32,30,10,https://charts-static.billboard.com/img/2016/12/elley-duhe-w03-106x106.jpg
31,Olivia Rodrigo,Good 4 U,2022-04-02,34,1,45,https://charts-static.billboard.com/img/2021/05/olivia-rodrigo-3wl-good-4-u-ysx-180x180.jpg
32,Acraze Featuring Cherish,Do It To It,2022-04-02,30,15,21,https://charts-static.billboard.com/img/2021/09/acraze-0p0-doittoit-46a-180x180.jpg
33,Nirvana,Something In The Way,2022-04-02,23,23,3,https://charts-static.billboard.com/img/1840/12/nirvana-3xd-91x91.jpg
34,Coldplay x BTS,My Universe,2022-04-02,37,1,26,https://charts-static.billboard.com/img/2021/10/coldplay-bm3-my-universe-68v-180x180.jpg
35,Charlie Puth,Light Switch,2022-04-02,36,21,9,https://charts-static.billboard.com/img/2022/02/charlie-puth-9ci-lightswitch-5xj-180x180.jpg
36,BTS,Butter,2022-04-02,45,1,44,https://charts-static.billboard.com/img/2021/06/bts-hm9-butter-45t-180x180.jpg
37,Tom Odell,Another Love,2022-04-02,52,37,47,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
38,Jessica Darrow,Surface Pressure,2022-04-02,31,9,13,https://charts-static.billboard.com/img/2022/01/jessica-darrow-000-surface-pressure-2bs-180x180.jpg
39,Cris Mj,Una Noche En Medellin,2022-04-02,67,39,3,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
40,Doja Cat Featuring SZA,Kiss Me More,2022-04-02,41,3,50,https://charts-static.billboard.com/img/2021/04/doja-cat-lm6-kiss-me-more-3fc-180x180.jpg
41,Billie Eilish,Happier Than Ever,2022-04-02,38,6,34,https://charts-static.billboard.com/img/2021/08/billie-eilish-lrt-happier-than-ever-xd9-180x180.jpg
42,Fireboy DML & Ed Sheeran,Peru,2022-04-02,44,34,13,https://charts-static.billboard.com/img/2021/12/fireboydml-bvr-peru-4ml-180x180.jpg
43,Ed Sheeran,Perfect,2022-04-02,43,30,81,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
44,Lil Durk Featuring Gunna,What Happened To Virgil,2022-04-02,35,35,2,https://charts-static.billboard.com/img/2013/06/lil-durk-hvd-180x180.jpg
45,Imagine Dragons,Bones,2022-04-02,46,45,2,https://charts-static.billboard.com/img/2022/03/imagine-dragons-ud7-bones-8cg-180x180.jpg
46,Doja Cat,Need To Know,2022-04-02,50,6,41,https://charts-static.billboard.com/img/2021/06/doja-cat-lm6-need-to-know-9r2-180x180.jpg
47,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,2022-04-02,-,47,1,https://charts-static.billboard.com/img/2022/03/4*town-from-disney-and-pixars-turning-red-000-nobody-like-u-ew6-180x180.jpg
48,Gunna & Future Featuring Young Thug,Pushin P,2022-04-02,39,10,11,https://charts-static.billboard.com/img/2016/09/gunna-czg-180x180.jpg
49,"Tainy, Bad Bunny & Julieta Venegas",Lo Siento BB:/,2022-04-02,51,12,25,https://charts-static.billboard.com/img/2021/10/tainy-otf-lo-siento-bb--vsg-180x180.jpg
50,Bad Bunny,Yonaguni,2022-04-02,48,3,42,https://charts-static.billboard.com/img/2021/06/bad-bunny-c3m-yonaguni-zqi-180x180.jpg
51,Em Beihold,Numb Little Bug,2022-04-02,40,40,8,https://charts-static.billboard.com/img/2022/02/em-beihold-ikj-numb-little-bug-vhu-180x180.jpg
52,BTS,Dynamite,2022-04-02,47,1,81,https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg
53,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2022-04-02,54,41,81,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
54,Ruth B.,Dandelions,2022-04-02,55,54,10,https://charts-static.billboard.com/img/2015/12/ruth-b-6pm-106x106.jpg
55,The Neighbourhood,Sweater Weather,2022-04-02,53,52,78,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
56,Kevin Gates Featuring Juicy J,Thinking With My Dick,2022-04-02,49,49,2,https://charts-static.billboard.com/img/2022/03/kevin-gates-wsl-thinking-with-my-dick-03t-180x180.jpg
57,Tate McRae,She's All I Wanna Be,2022-04-02,59,31,7,https://charts-static.billboard.com/img/2022/02/tatemcrae-rxu-shesalliwannabe-5fc-180x180.jpg
58,(G)I-DLE,Tomboy,2022-04-02,-,58,1,https://charts-static.billboard.com/img/2018/05/gidle-01q-180x180.jpg
59,"MC Frog, Davi Kneip E DJ Gabriel Do Borel",Sentadona (Ai Calica),2022-04-02,-,59,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
60,Dave,Starlight,2022-04-02,58,58,3,https://charts-static.billboard.com/img/2016/11/dave-rjd-180x180.jpg
61,Red Velvet,Feel My Rhythm,2022-04-02,-,61,1,https://charts-static.billboard.com/img/2014/08/red-velvet-ais-180x180.jpg
62,Eminem,Without Me,2022-04-02,56,39,24,https://charts-static.billboard.com/img/2013/07/eminem-1xq-180x180.jpg
63,Imagine Dragons,Believer,2022-04-02,60,52,81,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
64,Ed Sheeran,Shape Of You,2022-04-02,62,55,81,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
65,Lauren Spencer-Smith,Fingers Crossed,2022-04-02,64,13,12,https://charts-static.billboard.com/img/2022/01/lauren-spencersmith-000-fingers-crossed-y2s-180x180.jpg
66,Coi Leray & Nicki Minaj,Blick Blick!,2022-04-02,-,66,1,https://charts-static.billboard.com/img/2022/04/coileray-000-blickblick-oir-180x180.jpg
67,Eden Munoz,Chale!,2022-04-02,80,67,3,https://charts-static.billboard.com/img/2022/03/eden-munoz-000-chale-5v8-180x180.jpg
68,Lil Nas X,Montero (Call Me By Your Name),2022-04-02,71,1,52,https://charts-static.billboard.com/img/2021/04/lil-nas-x-qv4-montero-call-me-by-your-name-2lw-180x180.jpg
69,Dr. Dre Featuring Snoop Dogg,Still D.R.E.,2022-04-02,61,16,7,https://charts-static.billboard.com/img/2022/02/dr-dre-gbs-still-dre-2oa-180x180.jpg
70,Bad Bunny & Jhay Cortez,Dakiti,2022-04-02,70,1,73,https://charts-static.billboard.com/img/2020/11/bad-bunny-c3m-dakiti-wxy-180x180.jpg
71,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,2022-04-02,77,1,53,https://charts-static.billboard.com/img/2021/04/justin-bieber-f8k-peaches-sl5-180x180.jpg
72,Rosalia,Chicken Teriyaki,2022-04-02,-,72,1,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
73,AnnenMayKantereit & Giant Rooks,Tom's Diner,2022-04-02,190,73,2,https://charts-static.billboard.com/img/2022/03/annenmaykantereit-nhg-toms-diner-rm3-180x180.jpg
74,Tones And I,Dance Monkey,2022-04-02,73,16,81,https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg
75,Rosalia,Candy,2022-04-02,-,75,1,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
76,Pinkfong,Baby Shark,2022-04-02,81,38,80,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
77,Rosalia Featuring The Weeknd,La Fama,2022-04-02,-,34,12,https://charts-static.billboard.com/img/2021/11/rosalia-88x-la-fama-mo3-180x180.jpg
78,Olivia Rodrigo,Traitor,2022-04-02,74,7,44,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
79,Lil Durk,Ahhh Ha,2022-04-02,33,33,5,https://charts-static.billboard.com/img/2013/06/lil-durk-hvd-180x180.jpg
80,Adele,Oh My God,2022-04-02,68,3,18,https://charts-static.billboard.com/img/2008/02/adele-0zg-180x180.jpg
81,Frank Ocean,Lost,2022-04-02,76,43,10,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg
82,Lewis Capaldi,Someone You Loved,2022-04-02,79,24,81,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
83,Machine Gun Kelly & Bring Me The Horizon,Maybe,2022-04-02,-,83,1,https://charts-static.billboard.com/img/2011/11/machine-gun-kelly-ubc-180x180.jpg
84,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,2022-04-02,63,20,12,https://charts-static.billboard.com/img/2022/01/stephanie-beatriz-eof-the-family-madrigal-7iy-180x180.jpg
85,The Walters,I Love You So,2022-04-02,78,55,23,https://charts-static.billboard.com/img/2021/10/the-walters-htq-180x180.jpg
86,Shouse,Love Tonight,2022-04-02,85,20,39,https://charts-static.billboard.com/img/2021/06/shouse-hek-love-tonight-4iu-180x180.jpg
87,JNR CHOI & Sam Tompkins,To The Moon!,2022-04-02,86,67,11,https://charts-static.billboard.com/img/2022/01/jnr-choi-kjj-to-the-moon-9kv-180x180.jpg
88,Juice WRLD,Sometimes,2022-04-02,-,88,1,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
89,Paulo Londra,Plan A,2022-04-02,-,89,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
90,Dua Lipa,Don't Start Now,2022-04-02,84,30,81,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
91,Sebastian Yatra,Dos Oruguitas,2022-04-02,75,26,12,https://charts-static.billboard.com/img/2015/10/sebastian-yatra-q66-180x180.jpg
92,Sebastian Yatra,Tacones Rojos,2022-04-02,95,76,16,https://charts-static.billboard.com/img/2021/11/sebastian-yatra-q66-tacones-rojos-dd8-180x180.jpg
93,Demi Lovato,Cool For The Summer,2022-04-02,-,93,1,https://charts-static.billboard.com/img/2015/07/demi-lovato-3qc-coolforthesummer-sfg-180x180.jpg
94,Harry Styles,Watermelon Sugar,2022-04-02,91,9,81,https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg
95,Eminem,Lose Yourself,2022-04-02,82,25,7,https://charts-static.billboard.com/img/2010/01/eminem-6zg-lose-yourself-48q-180x180.jpg
96,Labrinth,Mount Everest,2022-04-02,69,63,6,https://charts-static.billboard.com/img/2010/06/labrinth-g0i-106x106.jpg
97,Olivia Rodrigo,Drivers License,2022-04-02,89,1,63,https://charts-static.billboard.com/img/2021/01/olivia-rodrigo-3wl-drivers-license-w08-180x180.jpg
98,Drake Featuring 21 Savage & Project Pat,Knife Talk,2022-04-02,87,6,29,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
99,Maneskin,Beggin',2022-04-02,90,3,42,https://charts-static.billboard.com/img/2017/12/maneskin-ews-180x180.jpg
100,Labrinth & Zendaya,I'm Tired,2022-04-02,66,29,4,https://charts-static.billboard.com/img/2022/03/labrinth-o8m-im-tired-by4-180x180.jpg
101,"Blessd, Justin Quiles & Lenny Tavarez",Medallo,2022-04-02,107,80,17,https://charts-static.billboard.com/img/2021/11/blessd-ypv-180x180.jpg
102,Doja Cat & The Weeknd,You Right,2022-04-02,104,12,39,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
103,Ryan Castro,Jordan,2022-04-02,127,103,3,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
104,Aimer,Zankyosanka,2022-04-02,98,37,16,https://charts-static.billboard.com/img/2021/12/aimer-000-zankyosanka-s5k-180x180.jpg
105,Masked Wolf,Astronaut In The Ocean,2022-04-02,96,3,61,https://charts-static.billboard.com/img/2020/11/masked-wolf-voi-astronaut-in-the-ocean-4ou-180x180.jpg
106,OneRepublic,Counting Stars,2022-04-02,121,106,56,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg
107,UZI,Arasan Da,2022-04-02,-,107,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
108,Eminem,The Real Slim Shady,2022-04-02,99,59,14,https://charts-static.billboard.com/img/2012/07/eminem-6zg-the-real-slim-shady-cbz-180x180.jpg
109,Tyga X Doja Cat,Freaky Deaky,2022-04-02,88,37,4,https://charts-static.billboard.com/img/2022/03/tyga-81k-freaky-deaky-pm2-180x180.jpg
110,The Neighbourhood,Softcore,2022-04-02,97,65,11,https://charts-static.billboard.com/img/2012/12/the-neighbourhood-qw9-180x180.jpg
111,50 Cent,In Da Club,2022-04-02,101,44,6,https://charts-static.billboard.com/img/2022/02/50-cent-4gk-in-da-club-znh-180x180.jpg
112,Rosalia,Saoko,2022-04-02,-,101,2,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
113,Russ Featuring Ktlyn,Handsomer,2022-04-02,57,57,3,https://charts-static.billboard.com/img/2022/03/russ-8dy-handsomer-9xb-180x180.jpg
114,Coolio Featuring L.V.,Gangsta's Paradise,2022-04-02,115,99,38,https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg
115,Nirvana,Smells Like Teen Spirit,2022-04-02,110,92,62,https://charts-static.billboard.com/img/2011/04/nirvana-ug8-smells-like-teen-spirit-is8-180x180.jpg
116,Taylor Swift,All Too Well (Taylor's Version),2022-04-02,109,1,19,https://charts-static.billboard.com/img/2021/11/taylor-swift-824-alltoowelltaylorsversion-k7x-180x180.jpg
117,BoyWithUke X blackbear,IDGAF,2022-04-02,-,117,1,https://charts-static.billboard.com/img/2021/10/boywithuke-ryx-180x180.jpg
118,Lil Durk Featuring Morgan Wallen,Broadway Girls,2022-04-02,83,32,14,https://charts-static.billboard.com/img/2022/01/lil-durk-hvd-broadway-girls-yl8-180x180.jpg
119,Jack Harlow,Nail Tech,2022-04-02,93,23,5,https://charts-static.billboard.com/img/2022/03/jack-harlow-i43-nail-tech-fg1-180x180.jpg
120,Swedish House Mafia & The Weeknd,Moth To A Flame,2022-04-02,108,10,22,https://charts-static.billboard.com/img/2021/11/swedish-house-mafia-37r-moth-to-a-flame-h3w-180x180.jpg
121,24kGoldn Featuring iann dior,Mood,2022-04-02,114,2,81,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-agm-180x180.jpg
122,Pedro Sampaio & MC Pedrinho,Dancarina,2022-04-02,125,84,5,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
123,Lady Gaga & Bradley Cooper,Shallow,2022-04-02,120,59,81,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
124,Sia,Unstoppable,2022-04-02,118,109,6,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
125,Fleetwood Mac,Dreams,2022-04-02,128,10,76,https://charts-static.billboard.com/img/2011/05/fleetwood-mac-fe3-dreams-jvb-180x180.jpg
126,Post Malone & The Weeknd,One Right Now,2022-04-02,116,9,20,https://charts-static.billboard.com/img/2021/11/post-malone-8b5-onerightnow-lfm-180x180.jpg
127,Zion & Lennox Featuring Daddy Yankee,Yo Voy,2022-04-02,119,119,4,https://charts-static.billboard.com/img/2004/03/zion-lennox-q3v-180x180.jpg
128,Post Malone,Circles,2022-04-02,134,49,81,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
129,The Chainsmokers & Coldplay,Something Just Like This,2022-04-02,137,120,64,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
130,Muni Long,Hrs And Hrs,2022-04-02,111,33,12,https://charts-static.billboard.com/img/2009/10/munilong-baj-180x180.jpg
131,Coldplay,Yellow,2022-04-02,149,105,50,https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg
132,The Weeknd,Sacrifice,2022-04-02,106,2,11,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
133,Queen,Bohemian Rhapsody,2022-04-02,126,97,77,https://charts-static.billboard.com/img/2005/02/queen-m21-180x180.jpg
134,Hozier,Take Me To Church,2022-04-02,136,123,63,https://charts-static.billboard.com/img/2014/05/hozier-yyf-takemetochurch-5cv-180x180.jpg
135,Billie Eilish & Khalid,Lovely,2022-04-02,131,70,81,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg
136,Aventura x Bad Bunny,Volvi,2022-04-02,117,11,34,https://charts-static.billboard.com/img/2021/08/aventura-mvs-volvi-1pk-180x180.jpg
137,Christian Nodal,Ya No Somos Ni Seremos,2022-04-02,122,36,5,https://charts-static.billboard.com/img/2022/03/christian-nodal-muq-ya-no-somos-ni-seremos-uh6-180x180.jpg
138,Arctic Monkeys,505,2022-04-02,146,135,8,https://charts-static.billboard.com/img/2005/11/arctic-monkeys-4ey-180x180.jpg
139,J. Cole,No Role Modelz,2022-04-02,147,114,40,https://charts-static.billboard.com/img/2009/12/j-cole-9on-180x180.jpg
140,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,2022-04-02,130,21,29,https://charts-static.billboard.com/img/2021/06/the-anxiety-willow-and-tyler-cole-sf1-180x180.jpg
141,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,2022-04-02,105,34,12,https://charts-static.billboard.com/img/2022/01/diane-guerrero-000-what-else-can-i-do-7kr-180x180.jpg
142,The Chainsmokers Featuring Halsey,Closer,2022-04-02,140,100,74,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
143,Vance Joy,Riptide,2022-04-02,152,143,36,https://charts-static.billboard.com/img/2013/08/vance-joy-578-180x180.jpg
144,Latto,Big Energy,2022-04-02,153,140,5,https://charts-static.billboard.com/img/2021/10/latto-80q-big-energy-hu4-180x180.jpg
145,Olivia Rodrigo,Deja Vu,2022-04-02,139,3,51,https://charts-static.billboard.com/img/2021/04/olivia-rodrigo-3wl-deja-vu-q3u-180x180.jpg
