Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
40,Doja Cat,Ain't Shit,2021-09-04,35,24,9,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
41,Doja Cat,Get Into It (Yuh),2021-09-04,65,41,4,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
42,Ed Sheeran,Perfect,2021-09-04,46,30,51,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
43,Doja Cat & The Weeknd,You Right,2021-09-04,39,12,9,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
44,Harry Styles,Watermelon Sugar,2021-09-04,40,9,51,https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg
45,Riton X Nightcrawlers Featuring Mufasa & Hypeman,Friday,2021-09-04,38,18,27,https://charts-static.billboard.com/img/2021/02/riton-000-friday-7o2-180x180.jpg
46,Marshmello X Jonas Brothers,Leave Before You Love Me,2021-09-04,49,40,14,https://charts-static.billboard.com/img/2021/06/marshmello-dhc-leave-before-you-love-me-8lo-180x180.jpg
47,Tones And I,Dance Monkey,2021-09-04,45,16,51,https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg
48,"Mora, Bad Bunny & Sech",Volando,2021-09-04,41,27,7,https://charts-static.billboard.com/img/2021/07/mora-woy-volando-ohb-180x180.jpg
49,24kGoldn Featuring iann dior,Mood,2021-09-04,48,2,51,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-agm-180x180.jpg
50,Camila Cabello,Don't Go Yet,2021-09-04,47,28,5,https://charts-static.billboard.com/img/2021/08/camila-cabello-bvl-dont-go-yet-0h8-180x180.jpg
51,"Los Legendarios, Wisin & Jhay Cortez",Fiel,2021-09-04,42,13,24,https://charts-static.billboard.com/img/2020/10/los-legendarios-myk-180x180.jpg
52,Imagine Dragons,Believer,2021-09-04,57,52,51,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
53,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2021-09-04,44,44,2,https://charts-static.billboard.com/img/2021/08/elton-john-m6x-cold-heart-pnau-remix-8pz-180x180.jpg
54,The Kid LAROI,Without You,2021-09-04,50,10,40,https://charts-static.billboard.com/img/2020/11/the-kid-laroi-qev-without-you-mqd-180x180.jpg
55,Sech & Jhay Cortez,911,2021-09-04,43,43,24,https://charts-static.billboard.com/img/2021/02/sech-43v-911-7mj-180x180.jpg
56,Bad Bunny & Jhay Cortez,Dakiti,2021-09-04,51,1,43,https://charts-static.billboard.com/img/2020/11/bad-bunny-c3m-dakiti-wxy-180x180.jpg
57,Jubin Nautiyal & Asees Kaur,"Raataan Lambiyan (From ""Shershaah"")",2021-09-04,173,57,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
58,Ed Sheeran,Shape Of You,2021-09-04,60,58,51,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
59,Maluma,Sobrio,2021-09-04,52,52,7,https://charts-static.billboard.com/img/2021/07/maluma-xt7-sobrio-q5u-180x180.jpg
60,Trippie Redd Featuring Juice WRLD,Matt Hardy 999,2021-09-04,-,60,1,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
61,Clinton Kane,I Guess I'm In Love,2021-09-04,-,61,1,https://charts-static.billboard.com/img/2021/09/clinton-kane-000-i-guess-im-in-love-qon-180x180.jpg
62,Tiesto,The Business,2021-09-04,54,12,42,https://charts-static.billboard.com/img/2020/10/tiesto-e64-the-business-6nk-180x180.jpg
63,Ingratax,Paris,2021-09-04,75,63,5,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
